,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set boss items as tier 6,,,Range,Factor,,Cost,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,,,,,,,,,,,,Average level ups required to equip items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-handed weapon factor,,,1,1.3,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,6,11,18,124,33,14,,,,,,,,,,,,,,4.0,3.9,3.8,3.9,3.7,3.8,3.9,3.8,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,2,1.5,,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Stagger per item tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.6,,3,-5,,,,,,,,,,,,,,,,,,,,,,Base,,,,Tier 1,,,,Tier 2,,,,Tier 3,,,,,,,,,,,,,,,,,,,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Action 1,Action 2,Action 3,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Leather Shield,282,4,65,35,56,33,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Mercenary,7,,Mercenary,7,Shield,,50,33,17,33,0,0,20,1,0,0,4,0,0,1,,,4,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,14,14,20,14,-99,20,14,14,20,14,,4,4,5,4,-98,5,4,4,5,4,4,5,4.3,,16,16,20,16,-97,20,16,16,20,16,,26.2,6.6,3.5,3.0,0,0,0,5.5,0.0,0.0,3.5,0.0,0,0.0,1,-1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLK,,,1🤺,,,,,,,1◼️,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firelink Armor,282,2,101,67,81,76,FALSE,Core,,,Tomb of Giants,,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Armor,,35,20,20,0,15,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,5,5,9,9,9,5,14,14,9,5,,2,2,3,3,3,2,4,4,3,2,2,4,2.8,,4,4,8,8,8,6,12,12,8,4,,28.2,6.6,5.5,0.0,2,0,0,5.5,0.0,0.0,5.5,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLU,,,,🔺🔺,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonrider Bow,281,4,94,62,83,40,FALSE,Characters,Transposed,,Tomb of Giants,Transposed,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,Thief,2,,Thief,2,Weapon,TRUE,34,34,0,34,0,0,33,1,2,0,5,8,0,1,2,,5,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,9,9,9,9,-99,9,9,-99,9,9,,3,3,3,3,-99,3,3,-99,3,3,3,3,3.0,,14,14,14,14,-99,14,14,-99,14,14,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,1.6,-1,7.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,7.8,1.6,-7,7.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,-2,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺,1,,,,3📏,1◼️,ORA,,,,,,,,,,,,,,TRUE,,,3📏,4◼️,ORA,,,,,,,,,,,,,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,ACTION 2: Ignore target's Block,
Soul Spear,280,3,80,49,70,47,TRUE,Painted World,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Spell,,40,25,0,0,25,15,53,2,4,0,7,14,0,2,4,,7,14,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14,14,14,14,9,9,14,9,9,9,,4,4,4,4,3,3,4,3,3,3,3,4,3.5,,16,16,12,12,8,8,16,14,8,8,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,7.6,1.6,-1,3.5,0.0,0.0,0.0,0,1.2,1,0,0,0,1,0,0,0,0,1,15.1,1.6,-7,3.5,3.5,3.5,0.0,0,1.2,1,0,0,0,1,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,3📏,1◼️,BLK,,,,,⚡,,,,,TRUE,,,,,,,3📏,4◼️,BLK,BLK,BLK,,,⚡,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Knight Straight Sword,280,2,42,17,35,30,FALSE,Core,,,Painted World,,,Sunless City,,,TRUE,TRUE,TRUE,FALSE,TRUE,,FALSE,,,0,,,0,Weapon,,80,20,20,20,20,20,30,1,2,0,4,8,0,1,2,,4,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,35,35,35,35,35,35,35,35,35,14,,7,7,7,7,7,7,7,7,7,4,4,7,6.7,,20,20,20,20,20,20,20,20,20,8,,14.0,0.0,0.0,3.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,1,0,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,4.0,1,-5,3.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺🔺,2,,,,,,BLK,BLK,,,,,,,,,,,,,,,,,3◼️,BLK,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master's Attire,280,4,68,37,58,38,FALSE,Core,,,Tomb of Giants,,,,,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Armor,,48,30,0,30,18,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,20,9,14,-99,14,20,20,9,9,,5,5,3,4,-98,4,5,5,3,3,3,5,4.1,,20,20,8,12,-97,16,20,20,8,8,,28.0,0.0,0.0,12.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,2🤸,🔺🔺,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotel,277,3,57,28,50,29,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,Thief,2,,Thief,2,Weapon,,55,29,0,29,26,0,22,0,1,2,2,4,7,,1,2,2,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,20,27,14,14,-99,20,27,27,14,14,,5,6,4,4,-97,5,6,6,4,4,4,6,4.9,,20,28,12,12,-93,20,28,28,12,12,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,3.5,1,0,3.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,3.5,1,-3,3.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,10.5,1,-7,5.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,12,0,1,,,,,,,,1🤺,🔺,1,,,,,,BLK,,,,,,,,,,,,,,,,,,2◼️,BLK,,,,,,,,,,,,,1,,,,,4◼️,BLU,,,,,,,,,,,,,4,,,,,ACTION 2 & 3: Ignore target's armor,
Crescent Moon Sword,277,1,96,64,81,73,TRUE,Iron Keep,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,34,17,0,17,0,17,23,1,2,0,3,6,0,1,2,,3,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9,14,9,9,9,9,5,9,9,5,,3,4,3,3,3,3,2,3,3,2,2,4,2.9,,8,12,8,8,8,8,4,8,8,4,,8.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,6.6,1,0,5.5,0.0,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,10.8,1.6,-5,5.5,0.0,0.0,0.0,0,1.2,1.5,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,🔺🔺,2,,,,,,BLU,,,,,⚡,,,,,,,,,,,,3📏,3◼️,BLU,,,,,⚡,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Firebombs,276,2,81,50,69,58,TRUE,Explorers,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,40,20,0,0,20,20,65,4,0,0,13,0,0,4,,,13,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,14,14,14,14,9,9,9,9,14,5,,4,4,4,4,3,3,3,3,4,2,2,4,3.4,,12,12,12,12,8,8,8,8,12,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,21.1,1.3,-7,5.5,5.5,0.0,0.0,0,1.2,1.5,0,0,0,0,1,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,1📏,4◼️,BLU,BLU,,,,⚡,TRUE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiquated Robes,276,2,99,67,79,75,TRUE,Darkroot,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,35,20,0,0,15,20,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9,9,9,9,9,5,9,9,9,5,,3,3,3,3,3,2,3,3,3,2,2,3,2.8,,8,8,8,8,8,6,8,8,8,4,,27.6,4.8,4.0,3.0,2,0,0,3.5,3.5,-3.0,3.5,3.5,-3,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,BLK,-1,BLK,BLK,-1,1🤸,🔺🔺,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollow Soldier Shield,274,1,105,73,78,83,TRUE,Tomb of Giants,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Shield,,35,19,16,0,0,19,30,2,0,0,6,0,0,2,,,6,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,9,5,9,9,5,14,5,5,9,5,,3,2,3,3,2,4,2,2,3,2,2,4,2.6,,8,6,8,8,4,12,4,4,8,4,,17.4,4.2,3.5,0.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,7.0,1,-3,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,,🔺,1,,,,,2◼️,BLK,BLK,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This weapon gains +1 damage against Hollows,
Small Leather Shield,274,4,59,30,46,36,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,Thief,2,,Thief,2,Shield,,60,30,15,30,0,15,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,20,14,20,20,-99,27,20,14,14,14,,5,4,5,5,-97,6,5,4,4,4,4,6,4.7,,18,16,14,14,-95,22,18,16,10,10,,21.4,4.2,3.5,3.0,0,0,0,3.5,0.0,0.0,3.5,0.0,0,6.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,6,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,1🤺,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
Obscuring Ring,270,3,66,37,56,38,FALSE,Characters,,,Tomb of Giants,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,Thief,2,,Thief,2,Ring,,48,28,0,28,0,20,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,14,20,14,14,-99,20,14,14,14,9,,4,5,4,4,-97,5,4,4,4,3,3,5,4.1,,12,20,12,12,-93,20,16,16,12,8,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,27.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,27,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You gain +2 dodge if the attacker is 2 or more nodes away,
Sunlight Shield,268,4,99,69,89,46,TRUE,Painted World,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Shield,,30,30,0,0,0,30,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,9,9,9,9,9,9,5,5,9,5,,3,3,3,3,3,3,2,2,3,2,2,3,2.7,,14,14,14,14,14,14,6,6,14,6,,23.8,8.4,3.5,0.0,0,0,0,3.5,3.5,0.0,3.5,0.0,0,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,BLK,,BLK,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When a character in your node would suffer damage, you can suffer the damage instead",
Black Iron Armor,268,1,122,89,89,99,TRUE,Characters,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,30,18,18,0,0,12,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,5,5,9,9,5,9,2,2,9,5,,2,2,3,3,2,3,1,1,3,2,1,3,2.2,,4,4,8,8,6,8,2,2,8,4,,23.8,5.4,4.5,0.0,2,0,0,7.5,0.0,-3.0,7.5,0.0,-3,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,ORA,,-1,ORA,,-1,,🔺🔺,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you make a node attack, reduce the ⬛stamina cost by 1",TRUE
Parrying Dagger,267,2,49,23,42,32,FALSE,Explorers,,,Sunless City,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,,,0,,,0,Weapon,,63,21,0,21,21,21,23,1,2,0,3,6,0,1,2,,3,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,27,27,20,20,27,20,27,20,20,27,,6,6,5,5,6,5,6,5,5,6,5,6,5.5,,18,18,14,14,22,14,22,14,14,18,,16.4,4.2,0.0,3.0,1,0,0,3.5,0.0,0.0,0.0,0.0,0,4.0,1,0,3.5,3.5,0.0,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,4.0,1,-3,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,1🤺,🔺,1,,,,,,BLK,BLK,,,-1,,,,,,,,,,,,,,2◼️,BLK,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firebombs,264,1,120,89,88,102,FALSE,Core,,,Tomb of Giants,,,Sunless City,,,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,,,0,,,0,Weapon,,30,15,0,0,15,15,65,4,0,0,13,0,0,4,,,13,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,5,5,9,9,5,2,9,5,5,5,,2,2,3,3,2,1,3,2,2,2,1,3,2.2,,4,4,8,8,4,2,8,6,4,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,19.9,1.3,-7,3.5,3.5,3.5,0.0,0,1.2,1.5,0,0,0,0,1,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,1📏,4◼️,BLK,BLK,BLK,,,⚡,TRUE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuer's Greatshield,264,5,47,21,39,21,TRUE,Explorers,Main Boss,The Pursuer,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Shield,,68,38,38,0,0,30,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,27,27,-99,-99,-99,-99,-99,-99,-99,20,,6,6,-96,-96,-96,-96,-97,-97,-96,5,5,6,5.7,,28,28,-85,-85,-85,-85,-93,-93,-85,20,,26.4,13.2,0.0,0.0,0,0,0,3.5,7.5,0.0,0.0,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,ORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Leather Armor,264,4,57,29,49,30,FALSE,Characters,,,Painted World,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Mercenary,7,,,0,Armor,,54,30,24,30,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,20,20,14,14,-99,27,20,20,14,14,,5,5,4,4,-97,6,5,5,4,4,4,6,4.7,,20,20,12,12,-93,28,20,20,12,12,,23.4,4.2,3.5,3.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,1🤸,🔺,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"V1: You can dodge without spending ⬛stamina      V2: [2 dodge dice, no special effect]",
Priscilla's Dagger,260,4,96,66,84,44,TRUE,Painted World,Main Boss,Crossbreed Priscilla,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,31,31,0,0,31,0,35,0,2,0,0,7,0,,2,,,7,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,9,-99,9,9,5,5,-99,-99,9,9,,3,-99,3,3,2,2,-99,-99,3,3,2,3,2.7,,14,-99,14,14,6,6,-99,-99,14,14,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0,0.0,0.0,0.0,0.0,0,1,1,5,0,0,0,0,0,0,0,1,9.5,1,-5,7.5,0.0,0.0,0.0,0,1,1,5,0,0,0,0,2,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺,1,,,,,,,,,,,,,TRUE,,,,,,,,,,,3◼️,ORA,,,,,,,TRUE,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Uchigatana,260,4,69,40,57,35,TRUE,Explorers,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,46,32,0,32,0,14,30,1,2,0,4,8,0,1,2,,4,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14,14,14,9,-99,14,14,9,14,14,,4,4,4,3,-99,4,4,3,4,4,3,4,3.8,,16,16,16,8,-99,16,16,14,16,16,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,1,0,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,8.0,1,-3,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺,1,,,,,,BLK,BLK,,,,,,,,,,,,,,,,,2◼️,BLU,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Hail,259,5,50,24,43,24,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Sorcerer,5,,Sorcerer,5,Spell,,60,35,0,25,35,0,33,1,3,0,4,9,0,1,3,,4,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,-99,-99,20,20,27,20,-99,-99,20,20,,-97,-97,5,5,6,5,-97,-96,5,5,5,6,5.2,,-93,-93,20,20,28,20,-93,-85,20,20,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,13.4,1.6,0,3.5,3.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,9.2,1.6,-10,3.5,3.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,5📏,,BLK,BLK,,,,⚡,,,,,,,,,,,,5📏,5◼️,BLK,BLK,,,,⚡,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,ACTION 2: Make an attack against each enemy within range,
